mission_time,latitude,longitude
5721.0,47.953088,-81.809344
5721.07,47.953088,-81.809344
5721.1,47.953088,-81.8093312
5721.15,47.953088,-81.8093312
5721.2,47.953088,-81.8093248
5721.24,47.953088,-81.8093248
5721.3,47.953088,-81.8093184
5721.32,47.953088,-81.8093184
5721.39,47.953088,-81.8093056
5721.4,47.953088,-81.8093056
5721.49,47.953088,-81.8093056
5721.49,47.953088,-81.8092928
5721.56,47.953088,-81.8092928
5721.59,47.953088,-81.8092864
5721.65,47.953088,-81.8092864
5721.69,47.953088,-81.8092864
5721.74,47.953088,-81.8092864
5721.79,47.953088,-81.80928
5721.82,47.953088,-81.80928
5721.89,47.9530912,-81.8092736
5721.9,47.9530912,-81.8092736
5721.98,47.9530912,-81.8092736
5722.0,47.9530944,-81.8092672
5722.06,47.9530944,-81.8092672
5722.09,47.9530944,-81.8092544
5722.14,47.9530944,-81.8092544
5722.19,47.9530976,-81.809248
5722.23,47.9530976,-81.809248
5722.3,47.9531008,-81.8092352
5722.31,47.9531008,-81.8092352
5722.39,47.9531072,-81.8092288
5722.39,47.9531072,-81.8092288
5722.47,47.9531072,-81.8092288
5722.49,47.9531104,-81.8092224
5722.56,47.9531104,-81.8092224
5722.59,47.9531136,-81.8092096
5722.64,47.9531136,-81.8092096
5722.69,47.9531168,-81.8092096
5722.73,47.9531168,-81.8092096
5722.79,47.95312,-81.8092032
5722.81,47.95312,-81.8092032
5722.89,47.95312,-81.8092032
5722.89,47.9531264,-81.8092032
5722.97,47.9531264,-81.8092032
5723.0,47.9531264,-81.8091968
5723.06,47.9531264,-81.8091968
5723.1,47.9531296,-81.8091968
5723.14,47.9531296,-81.8091968
5723.2,47.9531296,-81.8091968
5723.22,47.9531296,-81.8091968
5723.29,47.9531328,-81.8091904
5723.31,47.9531328,-81.8091904
5723.39,47.9531328,-81.8091904
5723.39,47.953136,-81.8091904
5723.47,47.953136,-81.8091904
5723.49,47.953136,-81.8091904
5723.56,47.953136,-81.8091904
5723.59,47.9531392,-81.8091904
5723.64,47.9531392,-81.8091904
5723.69,47.9531456,-81.809184
5723.72,47.9531456,-81.809184
5723.79,47.9531488,-81.809184
5723.8,47.9531488,-81.809184
5723.89,47.9531488,-81.809184
5723.89,47.953152,-81.809184
5723.97,47.953152,-81.809184
5724.0,47.9531552,-81.8091712
5724.06,47.9531552,-81.8091712
5724.09,47.9531584,-81.8091712
5724.14,47.9531584,-81.8091712
5724.19,47.9531616,-81.8091648
5724.22,47.9531616,-81.8091648
5724.29,47.9531712,-81.8091648
5724.3,47.9531712,-81.8091648
5724.39,47.9531712,-81.8091648
5724.39,47.9531744,-81.8091584
5724.47,47.9531744,-81.8091584
5724.49,47.9531776,-81.8091584
5724.56,47.9531776,-81.8091584
5724.59,47.9531872,-81.809152
5724.64,47.9531872,-81.809152
5724.69,47.9531904,-81.809152
5724.71,47.9531904,-81.809152
5724.79,47.9531936,-81.8091456
5724.79,47.9531936,-81.8091456
5724.89,47.9531936,-81.8091456
5724.89,47.9532,-81.8091456
5724.97,47.9532,-81.8091456
5725.0,47.9532064,-81.8091456
5725.05,47.9532064,-81.8091456
5725.09,47.9532128,-81.8091328
5725.13,47.9532128,-81.8091328
5725.19,47.9532192,-81.8091328
5725.2,47.9532192,-81.8091328
5725.29,47.9532288,-81.8091328
5725.29,47.9532288,-81.8091328
5725.38,47.9532288,-81.8091328
5725.39,47.953232,-81.8091264
5725.46,47.953232,-81.8091264
5725.49,47.9532384,-81.8091264
5725.55,47.9532384,-81.8091264
5725.59,47.9532448,-81.8091264
5725.62,47.9532448,-81.8091264
5725.69,47.9532512,-81.80912
5725.7,47.9532512,-81.80912
5725.79,47.9532576,-81.80912
5725.79,47.9532576,-81.80912
5725.87,47.9532576,-81.80912
5725.89,47.9532608,-81.80912
5725.96,47.9532608,-81.80912
5726.0,47.9532704,-81.80912
5726.04,47.9532704,-81.80912
5726.09,47.9532736,-81.80912
5726.11,47.9532736,-81.80912
5726.19,47.95328,-81.8091136
5726.2,47.95328,-81.8091136
5726.29,47.9532896,-81.8091136
5726.29,47.9532896,-81.8091136
5726.37,47.9532896,-81.8091136
5726.39,47.953296,-81.8091072
5726.46,47.953296,-81.8091072
5726.49,47.9533056,-81.8091072
5726.54,47.9533056,-81.8091072
5726.59,47.9533088,-81.8090944
5726.62,47.9533088,-81.8090944
5726.69,47.9533152,-81.8090944
5726.7,47.9533152,-81.8090944
5726.79,47.9533152,-81.8090944
5726.79,47.9533248,-81.809088
5726.87,47.9533248,-81.809088
5726.89,47.9533344,-81.809088
5726.95,47.9533344,-81.809088
5727.0,47.953344,-81.8090816
5727.04,47.953344,-81.8090816
5727.09,47.9533504,-81.8090816
5727.12,47.9533504,-81.8090816
5727.19,47.9533568,-81.8090752
5727.2,47.9533568,-81.8090752
5727.29,47.9533568,-81.8090752
5727.29,47.9533664,-81.8090688
5727.37,47.9533664,-81.8090688
5727.39,47.9533728,-81.8090688
5727.44,47.9533728,-81.8090688
5727.49,47.9533792,-81.809056
5727.54,47.9533792,-81.809056
5727.59,47.9533888,-81.8090496
5727.62,47.9533888,-81.8090496
5727.69,47.9533984,-81.8090496
5727.7,47.9533984,-81.8090496
5727.79,47.9533984,-81.8090496
5727.79,47.953408,-81.8090432
5727.86,47.953408,-81.8090432
5727.89,47.9534144,-81.8090432
5727.94,47.9534144,-81.8090432
5728.0,47.9534272,-81.8090368
5728.03,47.9534272,-81.8090368
5728.09,47.9534336,-81.8090304
5728.12,47.9534336,-81.8090304
5728.19,47.9534432,-81.8090304
5728.2,47.9534432,-81.8090304
5728.28,47.9534432,-81.8090304
5728.29,47.9534528,-81.809024
5728.36,47.9534528,-81.809024
5728.39,47.9534592,-81.809024
5728.44,47.9534592,-81.809024
5728.49,47.9534688,-81.8090112
5728.52,47.9534688,-81.8090112
5728.59,47.9534752,-81.8090048
5728.62,47.9534752,-81.8090048
5728.69,47.9534848,-81.8090048
5728.69,47.9534848,-81.8090048
5728.77,47.9534848,-81.8090048
5728.79,47.9534944,-81.8089984
5728.86,47.9534944,-81.8089984
5728.89,47.953504,-81.8089984
5728.94,47.953504,-81.8089984
5728.99,47.9535104,-81.808992
5729.02,47.9535104,-81.808992
5729.09,47.9535168,-81.8089856
5729.12,47.9535168,-81.8089856
5729.19,47.9535168,-81.8089856
5729.19,47.9535264,-81.8089728
5729.27,47.9535264,-81.8089728
5729.29,47.9535328,-81.8089728
5729.36,47.9535328,-81.8089728
5729.39,47.9535424,-81.8089664
5729.439,47.9535424,-81.8089664
5729.49,47.9535488,-81.80896
5729.52,47.9535488,-81.80896
5729.59,47.9535584,-81.80896
5729.61,47.9535584,-81.80896
5729.69,47.9535584,-81.80896
5729.69,47.953568,-81.8089536
5729.77,47.953568,-81.8089536
5729.79,47.9535744,-81.8089536
5729.86,47.9535744,-81.8089536
5729.89,47.953584,-81.8089472
5729.94,47.953584,-81.8089472
5730.0,47.9535904,-81.8089472
5730.02,47.9535904,-81.8089472
5730.09,47.9536032,-81.8089344
5730.1,47.9536032,-81.8089344
